Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,Unnamed: 7,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
NSE,7053,1,ACCELYA,ACCELYA-EQ,EQ,0.05,,Accelya Solutions India Limited,EQ,01-DEC-1999,10,1,INE793A01012,10
NSE,22,1,ACC,ACC-EQ,EQ,0.05,,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10
NSE,6018,1,ABSLAMC,ABSLAMC-EQ,EQ,0.05,,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5,1,INE404A01024,5
NSE,5551,1,ABMINTLLTD,ABMINTLLTD-BE,BE,0.01,,ABM International Limited,BE,09-SEP-2021,10,1,INE251C01025,10
NSE,30108,1,ABFRL,ABFRL-EQ,EQ,0.05,,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10
NSE,24308,1,ABDL,ABDL-EQ,EQ,0.05,,Allied Blenders and Distillers Limited,EQ,02-JUL-2024,2,1,INE552Z01027,2
NSE,21614,1,ABCAPITAL,ABCAPITAL-EQ,EQ,0.01,,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10
NSE,17903,1,ABBOTINDIA,ABBOTINDIA-EQ,EQ,0.05,,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10
NSE,13,1,ABB,ABB-EQ,EQ,0.05,,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2
NSE,10,1,ABAN,ABAN-EQ,EQ,0.01,,Aban Offshore Limited,EQ,29-MAR-1995,2,1,INE421A01028,2
NSE,5385,1,AAVAS,AAVAS-EQ,EQ,0.05,,Aavas Financiers Limited,EQ,08-OCT-2018,10,1,INE216P01012,10
NSE,19073,1,AARVI,AARVI-EQ,EQ,0.01,,Aarvi Encon Limited,EQ,24-JUN-2020,10,1,INE754X01016,10
NSE,13775,1,AARVEEDEN,AARVEEDEN-BE,BE,0.01,,Aarvee Denims & Exports Limited,BE,21-NOV-2006,10,1,INE273D01019,10
NSE,12121,1,AARTISURF,AARTISURF-P1,P1,0.05,,Aarti Surfactants Limited,EQ,14-JUL-2020,10,1,INE09EO01013,10
NSE,19233,1,AARTISURF,AARTISURF-EQ,EQ,0.05,,Aarti Surfactants Limited,EQ,14-JUL-2020,10,1,INE09EO01013,10
NSE,13868,1,AARTIPHARM,AARTIPHARM-EQ,EQ,0.05,,Aarti Pharmalabs Limited,EQ,30-JAN-2023,5,1,INE0LRU01027,5
NSE,7,1,AARTIIND,AARTIIND-EQ,EQ,0.05,,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5
NSE,4481,1,AARTIDRUGS,AARTIDRUGS-EQ,EQ,0.05,,Aarti Drugs Limited,EQ,19-SEP-2003,10,1,INE767A01016,10
NSE,17145,1,AARTECH,AARTECH-EQ,EQ,0.01,,Aartech Solonics Limited,EQ,10-JUL-2023,5,1,INE01C001026,5
NSE,1030,1,AARON,AARON-EQ,EQ,0.05,,Aaron Industries Limited,EQ,06-NOV-2020,10,1,INE721Z01010,10
NSE,5248,1,AAREYDRUGS,AAREYDRUGS-BE,BE,0.01,,Aarey Drugs & Pharmaceuticals Limited,BE,06-AUG-2021,10,1,INE198H01019,10
NSE,240,1,AAKASH,AAKASH-BE,BE,0.01,,Aakash Exploration Services Limited,BE,29-SEP-2020,1,1,INE087Z01024,1
